Char,score,score2,score3,score4
🎅,0.318,1.59,0.954,-0.682
🗽,0.318,1.59,0.954,-0.682
🌎,0.319,1.595,0.957,-0.681
🍎,0.32,1.6,0.96,-0.68
✧,0.321,1.605,0.963,-0.679
🌏,0.321,1.605,0.963,-0.679
💁,0.326,1.63,0.978,-0.674
👆,0.326,1.63,0.978,-0.674
🌟,0.327,1.635,0.981,-0.673
🎼,0.327,1.635,0.981,-0.673
💇,0.327,1.635,0.981,-0.673
🙀,0.33,1.65,0.99,-0.67
😏,0.332,1.66,0.996,-0.668
🙉,0.333,1.665,0.999,-0.667
👼,0.333,1.665,0.999,-0.667
🔐,0.333,1.665,0.999,-0.667
👖,0.333,1.665,0.999,-0.667
🇴,0.333,1.665,0.999,-0.667
👔,0.333,1.665,0.999,-0.667
🐫,0.333,1.665,0.999,-0.667
☛,0.333,1.665,0.999,-0.667
🚤,0.333,1.665,0.999,-0.667
🔚,0.333,1.665,0.999,-0.667
🎻,0.333,1.665,0.999,-0.667
👝,0.333,1.665,0.999,-0.667
✞,0.333,1.665,0.999,-0.667
🔭,0.333,1.665,0.999,-0.667
🇼,0.333,1.665,0.999,-0.667
Ⓛ,0.333,1.665,0.999,-0.667
Ⓔ,0.333,1.665,0.999,-0.667
📚,0.336,1.68,1.008,-0.664
✏,0.342,1.71,1.026,-0.658
♣,0.342,1.71,1.026,-0.658
│,0.343,1.715,1.029,-0.657
👣,0.344,1.72,1.032,-0.656
🍅,0.35,1.75,1.05,-0.65
🐩,0.35,1.75,1.05,-0.65
✨,0.351,1.755,1.053,-0.649
🐍,0.351,1.755,1.053,-0.649
🚵,0.353,1.765,1.059,-0.647
╗,0.353,1.765,1.059,-0.647
😼,0.355,1.775,1.065,-0.645
🎹,0.355,1.775,1.065,-0.645
🌅,0.356,1.78,1.068,-0.644
👠,0.356,1.78,1.068,-0.644
👛,0.357,1.785,1.071,-0.643
╦,0.357,1.785,1.071,-0.643
💉,0.358,1.79,1.074,-0.642
👾,0.361,1.805,1.083,-0.639
🍬,0.364,1.82,1.092,-0.636
💬,0.364,1.82,1.092,-0.636
🍵,0.364,1.82,1.092,-0.636
🆒,0.364,1.82,1.092,-0.636
📣,0.364,1.82,1.092,-0.636
┃,0.364,1.82,1.092,-0.636
🐷,0.368,1.84,1.104,-0.632
💤,0.37,1.85,1.11,-0.63
📺,0.375,1.875,1.125,-0.625
🚲,0.375,1.875,1.125,-0.625
🎿,0.375,1.875,1.125,-0.625
🎠,0.375,1.875,1.125,-0.625
🍃,0.378,1.89,1.134,-0.622
💵,0.379,1.895,1.137,-0.621
💨,0.381,1.905,1.143,-0.619
🍩,0.382,1.91,1.146,-0.618
🌿,0.384,1.92,1.152,-0.616
✿,0.384,1.92,1.152,-0.616
🌲,0.385,1.925,1.155,-0.615
🍘,0.385,1.925,1.155,-0.615
🏂,0.385,1.925,1.155,-0.615
👡,0.385,1.925,1.155,-0.615
🐙,0.387,1.935,1.161,-0.613
♕,0.387,1.935,1.161,-0.613
💏,0.388,1.94,1.164,-0.612
💅,0.388,1.94,1.164,-0.612
⬇,0.389,1.945,1.167,-0.611
👉,0.39,1.95,1.17,-0.61
🌃,0.39,1.95,1.17,-0.61
🍷,0.393,1.965,1.179,-0.607
😺,0.395,1.975,1.185,-0.605
🍜,0.395,1.975,1.185,-0.605
🔴,0.396,1.98,1.188,-0.604
❀,0.4,2,1.2,-0.6
🐎,0.4,2,1.2,-0.6
▽,0.4,2,1.2,-0.6
👕,0.4,2,1.2,-0.6
💳,0.4,2,1.2,-0.6
🇱,0.4,2,1.2,-0.6
📞,0.4,2,1.2,-0.6
📃,0.4,2,1.2,-0.6
💷,0.4,2,1.2,-0.6
🔛,0.4,2,1.2,-0.6
🇲,0.4,2,1.2,-0.6
🍆,0.402,2.01,1.206,-0.598
🔊,0.404,2.02,1.212,-0.596
🏃,0.406,2.03,1.218,-0.594
✅,0.407,2.035,1.221,-0.593
😆,0.409,2.045,1.227,-0.591
😸,0.41,2.05,1.23,-0.59
👋,0.413,2.065,1.239,-0.587
🎧,0.414,2.07,1.242,-0.586
🐠,0.414,2.07,1.242,-0.586
✈,0.415,2.075,1.245,-0.585
🙏,0.417,2.085,1.251,-0.583
🍕,0.417,2.085,1.251,-0.583
🍊,0.417,2.085,1.251,-0.583
👟,0.417,2.085,1.251,-0.583
🐐,0.417,2.085,1.251,-0.583
🎽,0.417,2.085,1.251,-0.583
😄,0.421,2.105,1.263,-0.579
🐬,0.421,2.105,1.263,-0.579
🏩,0.421,2.105,1.263,-0.579
📢,0.421,2.105,1.263,-0.579
🐦,0.421,2.105,1.263,-0.579
😝,0.423,2.115,1.269,-0.577
👵,0.423,2.115,1.269,-0.577
👈,0.424,2.12,1.272,-0.576
🎮,0.427,2.135,1.281,-0.573
☆,0.428,2.14,1.284,-0.572
✊,0.429,2.145,1.287,-0.571
📹,0.429,2.145,1.287,-0.571
👞,0.429,2.145,1.287,-0.571
📷,0.43,2.15,1.29,-0.57
💊,0.431,2.155,1.293,-0.569
🙈,0.432,2.16,1.296,-0.568
👶,0.434,2.17,1.302,-0.566
🍌,0.435,2.175,1.305,-0.565
💄,0.435,2.175,1.305,-0.565
◕,0.435,2.175,1.305,-0.565
🏡,0.436,2.18,1.308,-0.564
⏰,0.438,2.19,1.314,-0.562
◠,0.438,2.19,1.314,-0.562
╝,0.438,2.19,1.314,-0.562
👯,0.439,2.195,1.317,-0.561
🐻,0.44,2.2,1.32,-0.56
🗿,0.443,2.215,1.329,-0.557
🌽,0.444,2.22,1.332,-0.556
🐨,0.444,2.22,1.332,-0.556
🎋,0.444,2.22,1.332,-0.556
🐜,0.444,2.22,1.332,-0.556
🌋,0.444,2.22,1.332,-0.556
┓,0.444,2.22,1.332,-0.556
┣,0.444,2.22,1.332,-0.556
🍰,0.448,2.24,1.344,-0.552
😁,0.449,2.245,1.347,-0.551
⚪,0.45,2.25,1.35,-0.55
⛅,0.45,2.25,1.35,-0.55
🍚,0.452,2.26,1.356,-0.548
♦,0.453,2.265,1.359,-0.547
😜,0.455,2.275,1.365,-0.545
⇨,0.455,2.275,1.365,-0.545
○,0.455,2.275,1.365,-0.545
🍼,0.455,2.275,1.365,-0.545
🐗,0.455,2.275,1.365,-0.545
🐧,0.456,2.28,1.368,-0.544
🌑,0.458,2.29,1.374,-0.542
🙊,0.459,2.295,1.377,-0.541
🍦,0.459,2.295,1.377,-0.541
👅,0.461,2.305,1.383,-0.539
⛺,0.462,2.31,1.386,-0.538
🎒,0.462,2.31,1.386,-0.538
✌,0.463,2.315,1.389,-0.537
😉,0.463,2.315,1.389,-0.537
👭,0.463,2.315,1.389,-0.537
🌚,0.464,2.32,1.392,-0.536
▬,0.464,2.32,1.392,-0.536
☀,0.465,2.325,1.395,-0.535
⬅,0.467,2.335,1.401,-0.533
🍍,0.468,2.34,1.404,-0.532
💦,0.471,2.355,1.413,-0.529
♧,0.471,2.355,1.413,-0.529
🎢,0.471,2.355,1.413,-0.529
🔝,0.474,2.37,1.422,-0.526
👄,0.474,2.37,1.422,-0.526
🇫,0.474,2.37,1.422,-0.526
♻,0.474,2.37,1.422,-0.526
🎤,0.476,2.38,1.428,-0.524
🐯,0.476,2.38,1.428,-0.524
🐣,0.476,2.38,1.428,-0.524
💍,0.478,2.39,1.434,-0.522
🐵,0.478,2.39,1.434,-0.522
😌,0.482,2.41,1.446,-0.518
🍁,0.482,2.41,1.446,-0.518
🙋,0.485,2.425,1.455,-0.515
⛔,0.485,2.425,1.455,-0.515
🌳,0.486,2.43,1.458,-0.514
👰,0.486,2.43,1.458,-0.514
🚀,0.488,2.44,1.464,-0.512
😎,0.491,2.455,1.473,-0.509
🍺,0.493,2.465,1.479,-0.507
🎵,0.5,2.5,1.5,-0.5
🙆,0.5,2.5,1.5,-0.5
💫,0.5,2.5,1.5,-0.5
🌊,0.5,2.5,1.5,-0.5
👙,0.5,2.5,1.5,-0.5
🏠,0.5,2.5,1.5,-0.5
🏁,0.5,2.5,1.5,-0.5
💌,0.5,2.5,1.5,-0.5
🌜,0.5,2.5,1.5,-0.5
🌇,0.5,2.5,1.5,-0.5
🏉,0.5,2.5,1.5,-0.5
💒,0.5,2.5,1.5,-0.5
🌉,0.5,2.5,1.5,-0.5
✎,0.5,2.5,1.5,-0.5
🚄,0.5,2.5,1.5,-0.5
▲,0.5,2.5,1.5,-0.5
⛵,0.5,2.5,1.5,-0.5
👤,0.5,2.5,1.5,-0.5
👢,0.5,2.5,1.5,-0.5
❄,0.506,2.53,1.518,-0.494
🇸,0.511,2.555,1.533,-0.489
🍻,0.512,2.56,1.536,-0.488
🐱,0.513,2.565,1.539,-0.487
🎸,0.516,2.58,1.548,-0.484
🌈,0.516,2.58,1.548,-0.484
👨,0.516,2.58,1.548,-0.484
👏,0.52,2.6,1.56,-0.48
🌌,0.52,2.6,1.56,-0.48
🐤,0.52,2.6,1.56,-0.48
👍,0.521,2.605,1.563,-0.479
⛄,0.521,2.605,1.563,-0.479
🚬,0.521,2.605,1.563,-0.479
🐒,0.521,2.605,1.563,-0.479
🗼,0.522,2.61,1.566,-0.478
🏄,0.524,2.62,1.572,-0.476
♩,0.524,2.62,1.572,-0.476
🌴,0.525,2.625,1.575,-0.475
➕,0.529,2.645,1.587,-0.471
💼,0.529,2.645,1.587,-0.471
🌠,0.529,2.645,1.587,-0.471
🏈,0.53,2.65,1.59,-0.47
🎄,0.531,2.655,1.593,-0.469
♪,0.534,2.67,1.602,-0.466
🎶,0.537,2.685,1.611,-0.463
🍴,0.537,2.685,1.611,-0.463
🆗,0.537,2.685,1.611,-0.463
🌷,0.538,2.69,1.614,-0.462
🌾,0.538,2.69,1.614,-0.462
🌰,0.538,2.69,1.614,-0.462
⌒,0.538,2.69,1.614,-0.462
🍸,0.539,2.695,1.617,-0.461
🇺,0.541,2.705,1.623,-0.459
♔,0.541,2.705,1.623,-0.459
🎾,0.542,2.71,1.626,-0.458
┛,0.545,2.725,1.635,-0.455
🍂,0.547,2.735,1.641,-0.453
🌺,0.549,2.745,1.647,-0.451
🔆,0.55,2.75,1.65,-0.45
🌛,0.55,2.75,1.65,-0.45
💪,0.555,2.775,1.665,-0.445
🌕,0.556,2.78,1.668,-0.444
🚼,0.556,2.78,1.668,-0.444
◆,0.556,2.78,1.668,-0.444
♌,0.556,2.78,1.668,-0.444
🚐,0.556,2.78,1.668,-0.444
✘,0.556,2.78,1.668,-0.444
😃,0.557,2.785,1.671,-0.443
🌞,0.558,2.79,1.674,-0.442
🐏,0.558,2.79,1.674,-0.442
🙌,0.559,2.795,1.677,-0.441
💎,0.561,2.805,1.683,-0.439
👌,0.563,2.815,1.689,-0.437
🎓,0.563,2.815,1.689,-0.437
🌒,0.563,2.815,1.689,-0.437
🐪,0.563,2.815,1.689,-0.437
😀,0.568,2.84,1.704,-0.432
🌻,0.57,2.85,1.71,-0.43
😽,0.571,2.855,1.713,-0.429
⚓,0.571,2.855,1.713,-0.429
🌱,0.571,2.855,1.713,-0.429
👚,0.571,2.855,1.713,-0.429
🚣,0.571,2.855,1.713,-0.429
🗻,0.571,2.855,1.713,-0.429
🏊,0.575,2.875,1.725,-0.425
🐶,0.576,2.88,1.728,-0.424
🇹,0.579,2.895,1.737,-0.421
🌘,0.579,2.895,1.737,-0.421
🌔,0.579,2.895,1.737,-0.421
⭐,0.58,2.9,1.74,-0.42
¦,0.581,2.905,1.743,-0.419
🎺,0.583,2.915,1.749,-0.417
🐥,0.586,2.93,1.758,-0.414
🐰,0.586,2.93,1.758,-0.414
😇,0.587,2.935,1.761,-0.413
🐮,0.587,2.935,1.761,-0.413
🌙,0.59,2.95,1.77,-0.41
🌓,0.591,2.955,1.773,-0.409
🌍,0.592,2.96,1.776,-0.408
🎃,0.595,2.975,1.785,-0.405
🇮,0.595,2.975,1.785,-0.405
🍉,0.597,2.985,1.791,-0.403
🌹,0.6,3,1.8,-0.4
🚿,0.6,3,1.8,-0.4
💡,0.6,3,1.8,-0.4
❅,0.6,3,1.8,-0.4
😛,0.601,3.005,1.803,-0.399
👸,0.605,3.025,1.815,-0.395
🐾,0.605,3.025,1.815,-0.395
🇩,0.611,3.055,1.833,-0.389
💿,0.611,3.055,1.833,-0.389
😗,0.611,3.055,1.833,-0.389
🌗,0.611,3.055,1.833,-0.389
🌖,0.611,3.055,1.833,-0.389
🎂,0.613,3.065,1.839,-0.387
📴,0.615,3.075,1.845,-0.385
◢,0.615,3.075,1.845,-0.385
⚽,0.616,3.08,1.848,-0.384
🇪,0.616,3.08,1.848,-0.384
😻,0.619,3.095,1.857,-0.381
👳,0.619,3.095,1.857,-0.381
🎀,0.629,3.145,1.887,-0.371
😋,0.631,3.155,1.893,-0.369
💕,0.632,3.16,1.896,-0.368
⛳,0.636,3.18,1.908,-0.364
🚨,0.638,3.19,1.914,-0.362
😊,0.644,3.22,1.932,-0.356
💝,0.644,3.22,1.932,-0.356
↾,0.646,3.23,1.938,-0.354
🐌,0.647,3.235,1.941,-0.353
🎷,0.647,3.235,1.941,-0.353
↿,0.648,3.24,1.944,-0.352
🌸,0.65,3.25,1.95,-0.35
💜,0.654,3.27,1.962,-0.346
💚,0.656,3.28,1.968,-0.344
♥,0.657,3.285,1.971,-0.343
☺,0.657,3.285,1.971,-0.343
💗,0.657,3.285,1.971,-0.343
🚴,0.657,3.285,1.971,-0.343
🍹,0.659,3.295,1.977,-0.341
💑,0.659,3.295,1.977,-0.341
💓,0.664,3.32,1.992,-0.336
🇷,0.667,3.335,2.001,-0.333
📄,0.667,3.335,2.001,-0.333
🚳,0.667,3.335,2.001,-0.333
♡,0.669,3.345,2.007,-0.331
🍓,0.67,3.35,2.01,-0.33
😍,0.678,3.39,2.034,-0.322
🎇,0.68,3.4,2.04,-0.32
💟,0.682,3.41,2.046,-0.318
💘,0.683,3.415,2.049,-0.317
🐭,0.688,3.44,2.064,-0.312
🐟,0.689,3.445,2.067,-0.311
🚹,0.69,3.45,2.07,-0.31
💋,0.691,3.455,2.073,-0.309
👑,0.694,3.47,2.082,-0.306
🚜,0.7,3.5,2.1,-0.3
😘,0.701,3.505,2.103,-0.299
💛,0.709,3.545,2.127,-0.291
🎆,0.709,3.545,2.127,-0.291
😚,0.71,3.55,2.13,-0.29
💖,0.712,3.56,2.136,-0.288
🎈,0.718,3.59,2.154,-0.282
🎊,0.721,3.605,2.163,-0.279
🏆,0.726,3.63,2.178,-0.274
💙,0.73,3.65,2.19,-0.27
💃,0.734,3.67,2.202,-0.266
💐,0.735,3.675,2.205,-0.265
🎉,0.738,3.69,2.214,-0.262
💞,0.739,3.695,2.217,-0.261
❤,0.746,3.73,2.238,-0.254
🆔,0.75,3.75,2.25,-0.25
◤,0.75,3.75,2.25,-0.25
🎁,0.759,3.795,2.277,-0.241
🔔,0.769,3.845,2.307,-0.231
😙,0.778,3.89,2.334,-0.222
🌼,0.779,3.895,2.337,-0.221
✰,0.793,3.965,2.379,-0.207
🏧,0.8,4,2.4,-0.2
🔅,0.833,4.165,2.499,-0.167
♨,0.871,4.355,2.613,-0.129
▃,0.903,4.515,2.709,-0.097
🎎,0.907,4.535,2.721,-0.093
┊,0.958,4.79,2.874,-0.042
